# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Nov 25 14:32:55 2025
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_masse:       Planet Mass [Earth Mass]
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN sy_dist:        Distance [pc]
#
loc_rowid,pl_name,pl_orbper,pl_rade,pl_masse,pl_orbeccen,pl_eqt,st_mass,st_metratio,st_logg,sy_dist
1,11 Com b,323.21000000000,,,0.238000,,2.090000,[Fe/H],2.450000,93.18460000
2,11 Com b,326.03000000000,,,0.231000,,2.700000,[Fe/H],2.310000,93.18460000
3,11 Com b,,,,,,2.600000,,,93.18460000
4,11 UMi b,516.22000000000,,,0.080000,,1.800000,[Fe/H],1.600000,125.32100000
5,11 UMi b,516.21997000000,,,0.080000,,2.780000,[Fe/H],1.930000,125.32100000
6,11 UMi b,,,,,,1.700000,,,125.32100000
7,14 And b,,,,,,1.200000,,,75.43920000
8,14 And b,186.76000000000,,,0.000000,,1.780000,[Fe/H],2.550000,75.43920000
9,14 And b,185.84000000000,,,0.000000,,2.200000,[Fe/H],2.630000,75.43920000
10,14 Her b,1765.03890000000,,2559.47216157,0.373000,,0.910000,,,17.93230000
11,14 Her b,,,,0.357000,,0.900000,,,17.93230000
12,14 Her b,1724.00000000000,,,0.370000,,1.000000,[Fe/H],,17.93230000
13,14 Her b,1796.40000000000,,,0.338000,,0.900000,[Fe/H],4.400000,17.93230000
14,14 Her b,1766.00000000000,,,0.359000,,0.910000,[M/H],4.395070,17.93230000
15,14 Her b,1773.40002000000,,,0.370000,,0.900000,[Fe/H],4.450000,17.93230000
16,14 Her b,1773.40000000000,,,0.369000,,,,,17.93230000
17,14 Her b,1766.41000000000,,,0.367400,,0.969205,[Fe/H],4.426953,17.93230000
18,16 Cyg B b,798.50000000000,,,0.680000,,1.080000,[Fe/H],4.360000,21.13970000
19,16 Cyg B b,798.50000000000,,,0.681000,,0.990000,[Fe/H],4.355000,21.13970000
20,16 Cyg B b,799.50000000000,,,0.689000,,1.030000,[M/H],4.346080,21.13970000
21,16 Cyg B b,800.80000000000,,,0.634000,,1.000000,[Fe/H],4.350000,21.13970000
22,16 Cyg B b,799.45000000000,,,0.683200,,0.982996,[Fe/H],4.300386,21.13970000
23,16 Cyg B b,799.50000000000,,,0.689000,,,,,21.13970000
24,17 Sco b,578.38000000000,,,0.060000,,1.220000,[Fe/H],1.700000,124.95300000
